candidate,,Bennet,Bennet,Bennet,Biden,Biden,Biden,Bloomberg,Bloomberg,Bloomberg,Buttigieg,Buttigieg,Buttigieg,Delaney,Delaney,Delaney,Gabbard,Gabbard,Gabbard,Klobuchar,Klobuchar,Klobuchar,Patrick,Patrick,Patrick,Sanders,Sanders,Sanders,Steyer,Steyer,Steyer,Warren,Warren,Warren,Yang,Yang,Yang,Other,Other,Other,Uncommitted,Uncommitted,Uncommitted
round,,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
Black Hawk,CF W4 P3,0,0,0,4,0,0.0,0,0,0.0,70,78,0.404,0,0,0,0,0,0.0,8,0,0.0,0,0,0,115,122,0.808,1,0,0.0,76,83,0.606,8,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,CF W5 P2,0,0,0,30,41,0.606,2,0,0.0,31,41,0.606,0,0,0,3,0,0.0,19,0,0.0,0,0,0,43,57,0.808,5,0,0.0,38,41,0.606,15,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 4-5,0,0,0,31,39,1.01,0,0,0.0,6,0,0.0,0,0,0,0,0,0.0,4,0,0.0,0,0,0,28,32,0.808,7,0,0.0,12,19,0.404,3,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 3-4,0,0,0,7,14,0.404,0,0,0.0,5,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,19,21,0.808,3,0,0.0,7,8,0.202,1,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 2-3,0,0,0,11,0,0.0,0,0,0.0,17,25,0.606,0,0,0,0,0,0.0,5,0,0.0,0,0,0,29,34,0.808,2,0,0.0,16,20,0.404,9,0,0.0,0,0,0.0,1,0,0.0
Black Hawk,WL 5-3,0,0,0,15,17,0.202,0,0,0.0,17,19,0.404,0,0,0,0,0,0.0,1,1,0.0,0,0,0,52,56,0.808,4,0,0.0,9,5,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 1-3,0,0,0,10,17,0.404,0,0,0.0,8,0,0.0,0,0,0,1,0,0.0,7,0,0.0,0,0,0,43,43,0.808,0,0,0.0,16,27,0.404,0,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 4-4,0,0,0,17,24,0.606,0,0,0.0,5,0,0.0,0,0,0,0,0,0.0,2,0,0.0,0,0,0,34,34,0.808,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,CF W2 P1,0,0,0,0,0,0.0,0,0,0.0,20,23,0.202,0,0,0,0,0,0.0,5,0,0.0,0,0,0,37,39,0.404,0,0,0.0,18,19,0.202,8,0,0.0,0,0,0.0,0,7,0.0
Black Hawk,Poyner P2 Fox Gilbert Jesup,0,0,0,13,14,0.404,0,0,0.0,18,21,0.606,0,0,0,0,0,0.0,0,0,0.0,0,0,0,12,19,0.404,1,0,0.0,7,0,0.0,7,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 4-1,0,0,0,36,37,1.01,0,0,0.0,6,0,0.0,0,0,0,0,0,0.0,2,0,0.0,0,0,0,11,13,0.404,0,0,0.0,12,15,0.606,8,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,CF W5 P1,0,0,0,39,42,0.404,0,0,0.0,51,57,0.606,0,0,0,0,0,0.0,49,55,0.606,0,0,0,43,45,0.404,9,0,0.0,53,57,0.606,14,0,0.0,0,0,0.0,0,0,0.0
Black Hawk,Big Creek La Porte,1,0,0,19,19,0.404,0,0,0.0,20,20,0.606,0,0,0,0,0,0.0,11,11,0.0,0,0,0,16,16,0.404,12,12,0.0,12,12,0.0,9,9,0.0,0,0,0.0,0,0,0.0
Black Hawk,WL 2-1,0,0,0,10,10,0.202,0,0,0.0,13,19,0.404,0,0,0,0,0,0.0,8,0,0.0,0,0,0,18,19,0.404,0,0,0.0,11,11,0.202,0,0,0.0,0,0,0.0,0,1,0.0
Black Hawk,WL 1-5,0,0,0,15,16,0.404,0,0,0.0,10,14,0.202,0,0,0,0,0,0.0,11,14,0.202,0,0,0,24,25,0.404,7,0,0.0,19,20,0.404,4,0,0.0,0,0,0.0,0,0,0.0
